spring-1  | 2026-08-20T09:09:29.394520807Z {"@timestamp":"2026-08-20T09:09:29.394077297Z","level":"INFO","requestId":"9d73eb19-cdfb-42f0-b008-e508610ef325","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:29.551542675Z {"@timestamp":"2026-08-20T09:09:29.549481892Z","level":"INFO","requestId":"71ca0d6b-4432-4215-815e-2264ffa18aad","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:29.781202053Z {"@timestamp":"2026-08-20T09:09:29.780746924Z","level":"INFO","requestId":"0a938c2c-d39a-4126-b400-7218c674ae93","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:30.138805805Z {"@timestamp":"2026-08-20T09:09:30.135980873Z","level":"INFO","requestId":"aaa9f4bc-d126-4483-a41d-470afd6bc456","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:30.309153632Z {"@timestamp":"2026-08-20T09:09:30.307926273Z","level":"INFO","requestId":"64a48d9f-e288-449d-b6fc-0652313e76bd","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:30.549912599Z {"@timestamp":"2026-08-20T09:09:30.549436498Z","level":"INFO","requestId":"97a57faa-267b-4ffa-a052-229e13d2174b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:30.775259617Z {"@timestamp":"2026-08-20T09:09:30.774624165Z","level":"INFO","requestId":"3cf9c901-c70a-4962-9e99-dcb37c6e9bba","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.132431043Z {"@timestamp":"2026-08-20T09:09:31.131992391Z","level":"INFO","requestId":"ea893fd9-5aa9-49df-a491-876c263ae539","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.406277734Z {"@timestamp":"2026-08-20T09:09:31.405829695Z","level":"INFO","requestId":"8637fd55-6993-4f79-a6d9-608fe3182228","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.504147164Z {"@timestamp":"2026-08-20T09:09:31.503660955Z","level":"INFO","requestId":"2cee9357-9163-4a40-bcd1-df63bd09eb87","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.658861041Z {"@timestamp":"2026-08-20T09:09:31.657350581Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7054,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:29.608062Z","notificationRecordedAt":"2026-08-20T09:09:31.555987Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1947,"processingDurationMs":98,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
