spring-1  | 2026-08-20T08:35:54.776762030Z {"@timestamp":"2026-08-20T08:35:54.776342142Z","level":"INFO","requestId":"3e1410d1-889c-4969-888e-354073ca06f0","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:55.129982074Z {"@timestamp":"2026-08-20T08:35:55.129537201Z","level":"INFO","requestId":"41bfbc91-cd9d-4427-8a4b-5597d716e1d3","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:55.253345159Z {"@timestamp":"2026-08-20T08:35:55.252913226Z","level":"INFO","requestId":"71830174-7df6-4826-81b0-137b5e9ae411","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:55.627328283Z {"@timestamp":"2026-08-20T08:35:55.626886389Z","level":"INFO","requestId":"dbee569c-51d2-4c7e-8c58-7b59d329cf73","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:55.874843716Z {"@timestamp":"2026-08-20T08:35:55.874394946Z","level":"INFO","requestId":"c5084c48-9591-42a9-ba74-f9df42917e8b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.052473069Z {"@timestamp":"2026-08-20T08:35:56.051696237Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5615,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.012126Z","notificationRecordedAt":"2026-08-20T08:35:55.984088Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2971,"processingDurationMs":65,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.069646693Z {"@timestamp":"2026-08-20T08:35:56.069083066Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5616,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.124194Z","notificationRecordedAt":"2026-08-20T08:35:56.055029Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2930,"processingDurationMs":13,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.096950136Z {"@timestamp":"2026-08-20T08:35:56.096362434Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5617,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.273320Z","notificationRecordedAt":"2026-08-20T08:35:56.072005Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2798,"processingDurationMs":23,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.127389235Z {"@timestamp":"2026-08-20T08:35:56.126870064Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5618,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.385595Z","notificationRecordedAt":"2026-08-20T08:35:56.098671Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2713,"processingDurationMs":27,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.145823777Z {"@timestamp":"2026-08-20T08:35:56.145286694Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5619,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.514415Z","notificationRecordedAt":"2026-08-20T08:35:56.129141Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2614,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.149896893Z {"@timestamp":"2026-08-20T08:35:56.149516349Z","level":"INFO","requestId":"a3bee850-fc5e-4f51-a572-d5d9459b2f0b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.170093367Z {"@timestamp":"2026-08-20T08:35:56.169614016Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5620,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.647155Z","notificationRecordedAt":"2026-08-20T08:35:56.147642Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2500,"processingDurationMs":20,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:56.188662032Z {"@timestamp":"2026-08-20T08:35:56.187619407Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":5621,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T08:35:53.775205Z","notificationRecordedAt":"2026-08-20T08:35:56.171830Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":2396,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
