spring-1  | 2026-08-20T09:49:36.868838635Z {"@timestamp":"2026-08-20T09:49:36.867789917Z","level":"INFO","requestId":"e1ee72ad-2937-4505-bf2f-f76474a1efc5","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.095258094Z {"@timestamp":"2026-08-20T09:49:37.094963145Z","level":"INFO","requestId":"9f922409-8db7-43e4-ad1c-8b75148f1742","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.346237218Z {"@timestamp":"2026-08-20T09:49:37.345895927Z","level":"INFO","requestId":"6985c7d3-9359-4f9a-8999-bb175b0d1952","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.596900988Z {"@timestamp":"2026-08-20T09:49:37.595568399Z","level":"INFO","requestId":"fcb0ba1f-7bf5-4d5b-8536-e60e934ba27b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.854386194Z {"@timestamp":"2026-08-20T09:49:37.854048907Z","level":"INFO","requestId":"71469ac2-4828-4c87-b611-03e7d257227a","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.092440040Z {"@timestamp":"2026-08-20T09:49:38.092162593Z","level":"INFO","requestId":"e488988c-55cc-424a-9084-6630512fa473","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.343797329Z {"@timestamp":"2026-08-20T09:49:38.343457269Z","level":"INFO","requestId":"d3bf96d0-0fe7-42a5-b478-000c4ae1061b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.717357224Z {"@timestamp":"2026-08-20T09:49:38.717061718Z","level":"INFO","requestId":"766bb3e9-8915-406e-bc6b-402a09adb4b2","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.830759999Z {"@timestamp":"2026-08-20T09:49:38.830433182Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":8963,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:49:34.212557Z","notificationRecordedAt":"2026-08-20T09:49:38.816804Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":4604,"processingDurationMs":12,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.845112274Z {"@timestamp":"2026-08-20T09:49:38.844785884Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":8965,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:49:34.452986Z","notificationRecordedAt":"2026-08-20T09:49:38.832196Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":4379,"processingDurationMs":11,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.858973991Z {"@timestamp":"2026-08-20T09:49:38.85863709Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":8967,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:49:34.708650Z","notificationRecordedAt":"2026-08-20T09:49:38.846496Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":4137,"processingDurationMs":10,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:38.873648694Z {"@timestamp":"2026-08-20T09:49:38.873335301Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":8969,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:49:34.956305Z","notificationRecordedAt":"2026-08-20T09:49:38.860457Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":3904,"processingDurationMs":10,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
